X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8478462.59731081,5319503.75133162,2024/08/31 00:00:00+00,1519,1525,600 ERIE BLVD W ,,All Other,LARCENY,43.049463646,-76.1633253699999,6644
-8478462.59731081,5319503.75133162,2024/03/14 00:00:00+00,0,215,600 ERIE BLVD W ,,Of Bicycle,MV THEFT,43.049463646,-76.1633253699999,6645
-8478861.87160386,5318534.80932916,2024/11/02 00:00:00+00,1527,1527,600 GIFFORD ST     ,,,AGGRAVATED ASSAULT,43.043102628,-76.166912112,6646
-8478861.87160386,5318534.80932916,2024/03/22 00:00:00+00,1610,1610,600 GIFFORD ST     ,Yes,,AGGRAVATED ASSAULT,43.043102628,-76.166912112,6647
-8478861.87160386,5318534.80932916,2024/10/02 00:00:00+00,2247,2247,600 GIFFORD ST     ,Yes,From Building,BURGLARY,43.043102628,-76.166912112,6648
-8478861.87160386,5318534.80932916,2024/12/14 00:00:00+00,945,945,600 GIFFORD ST     ,,From Building,LARCENY,43.043102628,-76.166912112,6649
-8471099.6209517,5319838.98795411,2024/07/17 00:00:00+00,208,208,600 HAZELWOOD AV   ,,Of Bicycle,MV THEFT,43.0516642910001,-76.097182628,6650
-8476504.12289643,5320482.09578466,2024/05/04 00:00:00+00,220,220,600 HICKORY ST     ,,All Other,LARCENY,43.055885721,-76.145732095,6651
-8476504.12289643,5320482.09578466,2024/04/12 00:00:00+00,1657,1657,600 HICKORY ST     ,,All Other,LARCENY,43.055885721,-76.145732095,6652
-8476504.12289643,5320482.09578466,2024/08/03 00:00:00+00,751,751,600 HICKORY ST     ,,Of Bicycle,MV THEFT,43.055885721,-76.145732095,6653
-8475630.44667843,5318696.27659056,2024/11/13 00:00:00+00,122,122,600 IRVING AV   ,,,BURGLARY,43.044162692,-76.137883728,6654
-8476504.12289643,5320482.09578466,2024/01/24 00:00:00+00,2300,2359,600 HICKORY ST   ,,From Motor Vehicle,LARCENY,43.055885721,-76.145732095,6655
-8479715.05189985,5321692.11934393,2024/02/14 00:00:00+00,2011,2011,600 HIAWATHA BLVD W ,,From Building,LARCENY,43.0638276600001,-76.1745763609999,6656
-8474984.86721401,5315063.38827651,2024/08/26 00:00:00+00,2245,1552,600 JAMESVILLE AV   ,,From Motor Vehicle,MV THEFT,43.0203076430001,-76.1320843889999,6657
