,X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,CrimeType,monthly_crime_count
128,-8477642.35400311,5321881.71958129,2024-09-16 00:00:00+00:00,2230,730,300 W KIRKPATRICK ST     ,NO,From Motor Vehicle,LARCENY,43.065072,-76.155956999,179,2024-09,2,569
129,-8476199.95841784,5315774.20247774,2024-09-20 00:00:00+00:00,1300,1500,2100 S STATE ST     ,NO,Of Bicycle,MV THEFT,43.0249758730001,-76.1429997389999,180,2024-09,3,569
130,-8472813.74518761,5319303.81944941,2024-07-30 00:00:00+00:00,1815,1815,2200 E FAYETTE ST     ,NO,Shoplifting,LARCENY,43.048151165,-76.112580868,182,2024-07,2,554
131,-8476199.95841784,5315774.20247774,2024-09-28 00:00:00+00:00,2100,1456,2100 S STATE ST     ,NO,From Building,BURGLARY,43.0249758730001,-76.1429997389999,183,2024-09,1,569
132,-8477642.35400311,5321881.71958129,2024-10-27 00:00:00+00:00,1834,1834,300 W KIRKPATRICK ST     ,NO,All Other,LARCENY,43.065072,-76.155956999,184,2024-10,2,531
133,-8476431.21297141,5323113.38242895,2024-10-01 00:00:00+00:00,2228,2228,2200 GRANT BLVD   ,NO,All Other,LARCENY,43.073154747,-76.145077134,185,2024-10,2,531
134,-8477725.80087453,5321863.76534014,2024-08-16 00:00:00+00:00,1722,1722,2200 LODI ST   ,YES,All Other,LARCENY,43.064954168,-76.156706615,186,2024-08,2,648
135,-8479698.51572345,5315236.83929643,2024-01-19 00:00:00+00:00,800,925,2200 S  GEDDES ST     ,NO,All Other,LARCENY,43.021446805,-76.174427814,188,2024-01,2,430
136,-8476460.47541464,5315849.59148466,2024-11-22 00:00:00+00:00,1446,1446,2200 S  SALINA ST     ,NO,Of Bicycle,MV THEFT,43.0254709650001,-76.1453400029999,189,2024-11,3,436
137,-8476460.47541464,5315849.59148466,2024-11-17 00:00:00+00:00,1710,1800,2200 S SALINA ST     ,NO,From Motor Vehicle,LARCENY,43.0254709650001,-76.1453400029999,190,2024-11,2,436
138,-8476150.2502577,5315632.99309053,2024-07-15 00:00:00+00:00,811,811,2200 S  STATE ST     ,NO,From Building,LARCENY,43.024048517,-76.142553203,192,2024-07,2,554
139,-8478661.26141367,5316781.70838345,2024-08-08 00:00:00+00:00,945,945,300 W ONONDAGA ST     ,NO,From Motor Vehicle,LARCENY,43.031592,-76.16511,193,2024-08,2,648
140,-8476460.47541464,5315849.59148466,2024-09-06 00:00:00+00:00,1330,1715,2200 S SALINA ST     ,NO,From Motor Vehicle,MV THEFT,43.0254709650001,-76.1453400029999,194,2024-09,3,569
141,-8476460.47541464,5315849.59148466,2024-07-24 00:00:00+00:00,1710,1710,2200 S SALINA ST     ,NO,Pocket Picking,LARCENY,43.0254709650001,-76.1453400029999,197,2024-07,2,554
