X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType,monthly_crime_count
-8477119.37514669,5315011.06515733,2023-02-09 00:00:00+00:00,1230,1541,400 E  BRIGHTON AVE    ,NO,Of Bicycle,MV THEFT,43.0199640000001,-76.151259,3683,2023-02,4.1,3,336
-8471858.51441823,5320115.25642467,2023-10-24 00:00:00+00:00,1846,1846,2500 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3684,2023-10,3.7,2,558
-8471858.51441823,5320115.25642467,2023-10-14 00:00:00+00:00,1618,1618,2500 ERIE BLVD E ,YES,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3685,2023-10,3.7,2,558
-8471858.51441823,5320115.25642467,2023-09-06 00:00:00+00:00,2236,2236,2500 ERIE BLVD E ,NO,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3686,2023-09,3.6,1,574
-8478193.38559386,5320735.34549533,2023-09-18 00:00:00+00:00,1500,1505,400 E  DIVISION ST     ,NO,All Other,LARCENY,43.0575480000001,-76.160907,3687,2023-09,3.6,2,574
-8471858.51441823,5320115.25642467,2023-07-03 00:00:00+00:00,0925,1030,2500 ERIE BLVD E ,YES,All Other,LARCENY,43.0534777830001,-76.103999884,3688,2023-07,3.5,2,558
-8471858.51441823,5320115.25642467,2023-09-24 00:00:00+00:00,2021,2021,2500 ERIE BLVD E ,YES,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3689,2023-09,3.6,1,574
-8471858.51441823,5320115.25642467,2023-09-24 00:00:00+00:00,1011,1011,2500 ERIE BLVD E ,NO,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3691,2023-09,3.6,1,574
-8471858.51441823,5320115.25642467,2023-10-25 00:00:00+00:00,1406,1406,2500 ERIE BLVD E ,NO,Motor Vehicle,MV THEFT,43.0534777830001,-76.103999884,3692,2023-10,3.7,3,558
-8477119.37514669,5315011.06515733,2023-04-14 00:00:00+00:00,0000,832,400 E BRIGHTON AV   ,NO,All Other,LARCENY,43.0199640000001,-76.151259,3693,2023-04,2.9,2,331
-8471858.51441823,5320115.25642467,2023-09-13 00:00:00+00:00,0900,1428,2500 ERIE BLVD E ,NO,All Other,LARCENY,43.0534777830001,-76.103999884,3694,2023-09,3.6,2,574
-8471858.51441823,5320115.25642467,2023-10-17 00:00:00+00:00,1439,1439,2500 ERIE BLVD E ,YES,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3695,2023-10,3.7,2,558
-8477119.37514669,5315011.06515733,2023-05-04 00:00:00+00:00,1500,1100,400 E BRIGHTON AV   ,NO,From Building,BURGLARY,43.0199640000001,-76.151259,3696,2023-05,3.2,1,366
