X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType
-8476543.81185712,5316090.99184772,2023-04-23 00:00:00+00:00,0955,955,100 W  BEARD AVE    ,YES,From Building,LARCENY,43.0270562540001,-76.146088627,1592,2023-04-01,2.9,2
-8477971.62258535,5315912.23968633,2023-08-29 00:00:00+00:00,1900,1945,100 W  BISSELL ST     ,NO,All Other,LARCENY,43.0258823830001,-76.1589148689999,1593,2023-08-01,3.8,2
-8477296.70709552,5321478.55284792,2023-07-11 00:00:00+00:00,2026,730,1100 N TOWNSEND ST     ,NO,From Motor Vehicle,LARCENY,43.0624260000001,-76.1528519999999,1595,2023-07-01,3.5,2
-8477296.70709552,5321478.55284792,2023-05-19 00:00:00+00:00,0800,1100,1100 N TOWNSEND ST     ,NO,From Motor Vehicle,LARCENY,43.0624260000001,-76.1528519999999,1598,2023-05-01,3.2,2
-8476209.72280697,5315130.56236206,2023-09-23 00:00:00+00:00,0000,800,100 W  BRIGHTON AVE    ,NO,Of Bicycle,MV THEFT,43.0207488200001,-76.143087454,1599,2023-09-01,3.6,3
-8476467.21336078,5315863.2173696,2023-11-22 00:00:00+00:00,0940,940,100 W  COLVIN ST     ,NO,All Other,LARCENY,43.0255604480001,-76.145400531,1600,2023-11-01,3.7,2
-8474480.04022506,5319659.34894274,2023-02-10 00:00:00+00:00,1130,1130,100 N  BEECH ST     ,NO,Motor Vehicle,MV THEFT,43.050485069,-76.1275494509999,1603,2023-02-01,4.1,3
-8474244.28903198,5318990.02233264,2023-01-20 00:00:00+00:00,0604,604,100 MAPLE TER    ,NO,Of Bicycle,MV THEFT,43.0460911430001,-76.125431662,1604,2023-01-01,4.1,3
-8477738.03321677,5323848.43538152,2023-11-13 00:00:00+00:00,1130,1130,1000 LEMOYNE AVE    ,NO,All Other,LARCENY,43.077978,-76.1568164999999,1606,2023-11-01,3.7,2
-8471998.59419002,5322475.15233205,2023-01-30 00:00:00+00:00,2100,2200,100 N  MIDLER AV   ,NO,Motor Vehicle,MV THEFT,43.068966516,-76.1052582419999,1607,2023-01-01,4.1,3
-8476316.36821499,5310157.03150466,2023-09-19 00:00:00+00:00,1330,600,100 MAPLEWOOD AV   ,NO,All Other,BURGLARY,42.9880757560001,-76.144045466,1608,2023-09-01,3.6,1
-8474289.57803098,5316833.79120333,2023-05-21 00:00:00+00:00,0223,702,100 WINDSOR PL     ,NO,From Motor Vehicle,LARCENY,43.031934,-76.1258385,1609,2023-05-01,3.2,2
-8471998.59419002,5322475.15233205,2023-09-26 00:00:00+00:00,1100,1738,100 N  MIDLER AVE    ,YES,All Other,LARCENY,43.068966516,-76.1052582419999,1611,2023-09-01,3.6,2
-8476859.09971318,5319650.80765171,2023-02-26 00:00:00+00:00,1130,1130,100 MARKET ST   ,NO,Motor Vehicle,MV THEFT,43.0504290000001,-76.1489209059999,1612,2023-02-01,4.1,3
-8473770.60656489,5314525.97840626,2023-09-03 00:00:00+00:00,2250,2315,100 WINDING RIDGE RD     ,NO,All Other,LARCENY,43.016778,-76.1211764999999,1613,2023-09-01,3.6,2
-8477814.0868042,5320601.81150878,2023-11-05 00:00:00+00:00,2055,2055,100 SOLAR ST     ,NO,From Building,BURGLARY,43.0566715160001,-76.1574997009999,1614,2023-11-01,3.7,1
-8477092.82544813,5318776.13938196,2023-06-09 00:00:00+00:00,1157,1157,100 ONONDAGA AV   ,YES,From Motor Vehicle,LARCENY,43.0446870000001,-76.1510205,1615,2023-06-01,3.5,2
-8473907.68137836,5321400.38348353,2023-07-13 00:00:00+00:00,2300,2300,100 MARIPOSA ST     ,NO,Motor Vehicle,MV THEFT,43.0619129580001,-76.122407864,1616,2023-07-01,3.5,3
-8474289.57803098,5316833.79120333,2023-09-08 00:00:00+00:00,0100,105,100 WINDSOR PL     ,NO,From Motor Vehicle,LARCENY,43.031934,-76.1258385,1617,2023-09-01,3.6,2
-8477814.0868042,5320601.81150878,2023-05-11 00:00:00+00:00,0837,837,100 SOLAR ST     ,NO,All Other,LARCENY,43.0566715160001,-76.1574997009999,1618,2023-05-01,3.2,2
-8477092.82544813,5318776.13938196,2023-05-24 00:00:00+00:00,0940,1415,100 ONONDAGA AV   ,NO,All Other,LARCENY,43.0446870000001,-76.1510205,1619,2023-05-01,3.2,2
-8477453.5005983,5313292.82032594,2023-05-04 00:00:00+00:00,0900,900,100 MARLETT ST     ,NO,All Other,LARCENY,43.008678,-76.1542605,1620,2023-05-01,3.2,2
-8476346.14417502,5320884.30096318,2023-01-09 00:00:00+00:00,1905,1905,100 SEWARD ST     ,NO,All Other,LARCENY,43.058525692,-76.1443129479999,1621,2023-01-01,4.1,2
-8477814.0868042,5320601.81150878,2023-05-19 00:00:00+00:00,0835,840,100 SOLAR ST     ,NO,From Motor Vehicle,LARCENY,43.0566715160001,-76.1574997009999,1622,2023-05-01,3.2,2
-8477702.93384736,5317077.02303306,2023-10-12 00:00:00+00:00,1010,1400,100 HURON ST     ,NO,Of MV Parts/Accessories,LARCENY,43.0335311480001,-76.156501197,1624,2023-10-01,3.7,2
-8474289.57803098,5316833.79120333,2023-05-21 00:00:00+00:00,0215,925,100 WINDSOR PL     ,NO,From Motor Vehicle,LARCENY,43.031934,-76.1258385,1626,2023-05-01,3.2,2
-8477814.0868042,5320601.81150878,2023-11-04 00:00:00+00:00,0351,352,100 SOLAR ST     ,NO,From Building,BURGLARY,43.0566715160001,-76.1574997009999,1628,2023-11-01,3.7,1
-8475486.20489351,5318301.22530509,2023-02-16 00:00:00+00:00,0000,0,100 MARSHALL ST   ,NO,All Other,LARCENY,43.041569071,-76.136587982,1629,2023-02-01,4.1,2
-8477092.82544813,5318776.13938196,2023-11-25 00:00:00+00:00,1700,1710,100 ONONDAGA AV   ,NO,All Other,LARCENY,43.0446870000001,-76.1510205,1630,2023-11-01,3.7,2
-8476951.0600766,5321189.21601947,2023-06-03 00:00:00+00:00,1600,2330,1000 N MCBRIDE ST     ,NO,All Other,LARCENY,43.060527,-76.1497469999999,1631,2023-06-01,3.5,2
-8472548.81938238,5322404.21664522,2023-09-03 00:00:00+00:00,0000,839,100 WOODBINE AV   ,YES,Motor Vehicle,MV THEFT,43.068501,-76.110200999,1632,2023-09-01,3.6,3
-8475486.20489351,5318301.22530509,2023-09-13 00:00:00+00:00,2100,2100,100 MARSHALL ST     ,NO,Motor Vehicle,MV THEFT,43.041569071,-76.136587982,1633,2023-09-01,3.6,3
-8477814.0868042,5320601.81150878,2023-05-06 00:00:00+00:00,1036,430,100 SOLAR ST     ,NO,All Other,LARCENY,43.0566715160001,-76.1574997009999,1635,2023-05-01,3.2,2
-8476880.6739871,5323693.44402746,2023-09-22 00:00:00+00:00,2000,200,100 SEVENTH NORTH ST     ,NO,Motor Vehicle,MV THEFT,43.0769610130001,-76.149114711,1636,2023-09-01,3.6,3
-8475486.20489351,5318301.22530509,2023-06-09 00:00:00+00:00,1252,1252,100 MARSHALL ST     ,YES,Motor Vehicle,MV THEFT,43.041569071,-76.136587982,1637,2023-06-01,3.5,3
-8478000.85586287,5317945.48535945,2023-07-20 00:00:00+00:00,0200,632,100 SOUTH AV   ,NO,All Other,LARCENY,43.039233446,-76.159177476,1639,2023-07-01,3.5,2
-8472548.81938238,5322404.21664522,2023-09-27 00:00:00+00:00,0940,940,100 WOODBINE AV   ,NO,From Motor Vehicle,LARCENY,43.068501,-76.110200999,1640,2023-09-01,3.6,2
-8475486.20489351,5318301.22530509,2023-05-19 00:00:00+00:00,0440,440,100 MARSHALL ST     ,NO,From Building,BURGLARY,43.041569071,-76.136587982,1641,2023-05-01,3.2,1
-8478000.85586287,5317945.48535945,2023-04-09 00:00:00+00:00,1315,1330,100 SOUTH AV   ,NO,From Motor Vehicle,LARCENY,43.039233446,-76.159177476,1643,2023-04-01,2.9,2
-8472548.81938238,5322404.21664522,2023-10-15 00:00:00+00:00,2030,2338,100 WOODBINE AV   ,NO,From Motor Vehicle,MV THEFT,43.068501,-76.110200999,1644,2023-10-01,3.7,3
-8475486.20489351,5318301.22530509,2023-09-03 00:00:00+00:00,0513,513,100 MARSHALL ST     ,NO,From Building,BURGLARY,43.041569071,-76.136587982,1645,2023-09-01,3.6,1
-8474666.78412553,5318992.74239186,2023-12-14 00:00:00+00:00,2030,2230,100 OSTROM AV   ,NO,From Building,BURGLARY,43.0461090000001,-76.129227,1646,2023-12-01,4.2,1
-8478000.85586287,5317945.48535945,2023-08-13 00:00:00+00:00,1608,1608,100 SOUTH AV   ,NO,All Other,LARCENY,43.039233446,-76.159177476,1647,2023-08-01,3.8,2
-8472548.81938238,5322404.21664522,2023-12-06 00:00:00+00:00,0600,1120,100 WOODBINE AV   ,NO,All Other,LARCENY,43.068501,-76.110200999,1648,2023-12-01,4.2,2
-8475486.20489351,5318301.22530509,2023-09-24 00:00:00+00:00,1413,1413,100 MARSHALL ST     ,YES,From Building,LARCENY,43.041569071,-76.136587982,1649,2023-09-01,3.6,2
-8479288.42618528,5319305.51091776,2023-02-07 00:00:00+00:00,2025,2029,100 N GEDDES ST   ,NO,Motor Vehicle,MV THEFT,43.048162269,-76.170743917,1650,2023-02-01,4.1,3
-8478000.85586287,5317945.48535945,2023-01-16 00:00:00+00:00,2311,2311,100 SOUTH AVE    ,NO,Shoplifting,LARCENY,43.039233446,-76.159177476,1651,2023-01-01,4.1,2
-8472548.81938238,5322404.21664522,2023-07-23 00:00:00+00:00,1900,1045,100 WOODBINE AV   ,NO,Motor Vehicle,MV THEFT,43.068501,-76.110200999,1652,2023-07-01,3.5,3
-8475486.20489351,5318301.22530509,2023-09-18 00:00:00+00:00,0000,1200,100 MARSHALL ST     ,YES,All Other,LARCENY,43.041569071,-76.136587982,1653,2023-09-01,3.6,2
-8476346.14417502,5320884.30096318,2023-05-22 00:00:00+00:00,2359,2359,100 SEWARD ST     ,YES,All Other,LARCENY,43.058525692,-76.1443129479999,1656,2023-05-01,3.2,2
-8475486.20489351,5318301.22530509,2023-03-13 00:00:00+00:00,1830,1435,100 MARSHALL ST     ,NO,All Other,LARCENY,43.041569071,-76.136587982,1657,2023-03-01,3.6,2
-8471998.59419002,5322475.15233205,2023-12-06 00:00:00+00:00,2010,1230,100 N MIDLER AV   ,NO,All Other,LARCENY,43.068966516,-76.1052582419999,1658,2023-12-01,4.2,2
-8478000.85586287,5317945.48535945,2023-02-27 00:00:00+00:00,2238,2238,100 SOUTH AVE    ,NO,From Building,BURGLARY,43.039233446,-76.159177476,1659,2023-02-01,4.1,1
-8476839.83364891,5316996.86180036,2023-03-17 00:00:00+00:00,1200,1200,100 MARTIN LUTHER KING      E ,NO,All Other,LARCENY,43.0330047850001,-76.148747836,1661,2023-03-01,3.6,2
-8471998.59419002,5322475.15233205,2023-11-24 00:00:00+00:00,0013,300,100 N MIDLER AV   ,NO,Motor Vehicle,MV THEFT,43.068966516,-76.1052582419999,1662,2023-11-01,3.7,3
-8478000.85586287,5317945.48535945,2023-10-10 00:00:00+00:00,1520,1525,100 SOUTH AVE    ,NO,All Other,LARCENY,43.039233446,-76.159177476,1663,2023-10-01,3.7,2
